File,Modality,Shape,Resolution (mm),Orientation
ms-multi-spine-challenge-2024/sub-091/anat/sub-091_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 180)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-066/anat/sub-066_T2w.nii.gz,T2,"(560, 560, 13)","(np.float32(0.64285713), np.float32(0.64285713), np.float32(2.3))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-066/anat/sub-066_PSIR.nii.gz,PSIR,"(50, 384, 384)","(np.float32(1.0), np.float32(0.8333333), np.float32(0.8333333))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-036/anat/sub-036_STIR.nii.gz,STIR,"(13, 480, 480)","(np.float32(3.2239048), np.float32(0.63131315), np.float32(0.63131315))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-036/anat/sub-036_T2w.nii.gz,T2,"(13, 640, 640)","(np.float32(3.0), np.float32(0.4699248), np.float32(0.4699248))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-092/anat/sub-092_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 180)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-092/anat/sub-092_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.48828125), np.float32(0.48828125), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-039/anat/sub-039_STIR.nii.gz,STIR,"(20, 1024, 1024)","(np.float32(3.85), np.float32(0.36231884), np.float32(0.36231884))","('L', 'P', 'S')"
ms-multi-spine-challenge-2024/sub-039/anat/sub-039_T2w.nii.gz,T2,"(512, 512, 15)","(np.float32(0.6818182), np.float32(0.6818182), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-063/anat/sub-063_PSIR.nii.gz,PSIR,"(640, 640, 15)","(np.float32(0.34375), np.float32(0.34375), np.float32(3.15))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-063/anat/sub-063_T2w.nii.gz,T2,"(768, 1104, 15)","(np.float32(0.33854166), np.float32(0.33854166), np.float32(3.3))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-037/anat/sub-037_T2w.nii.gz,T2,"(15, 512, 512)","(np.float32(3.3), np.float32(0.5054595), np.float32(0.5054595))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-037/anat/sub-037_STIR.nii.gz,STIR,"(15, 384, 384)","(np.float32(3.3), np.float32(0.66155726), np.float32(0.66155726))","('L', 'P', 'S')"
ms-multi-spine-challenge-2024/sub-026/anat/sub-026_STIR.nii.gz,STIR,"(15, 512, 512)","(np.float32(3.0), np.float32(0.5896226), np.float32(0.5896226))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-026/anat/sub-026_T2w.nii.gz,T2,"(15, 672, 672)","(np.float32(3.0), np.float32(0.44642857), np.float32(0.44642857))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-056/anat/sub-056_T2w.nii.gz,T2,"(560, 560, 13)","(np.float32(0.64285713), np.float32(0.64285713), np.float32(2.3))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-056/anat/sub-056_PSIR.nii.gz,PSIR,"(50, 384, 384)","(np.float32(1.0), np.float32(0.8333333), np.float32(0.8333333))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-076/anat/sub-076_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.48828125), np.float32(0.48828125), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-076/anat/sub-076_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 190)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-054/anat/sub-054_PSIR.nii.gz,PSIR,"(50, 384, 291)","(np.float32(1.0), np.float32(0.8333333), np.float32(0.8333333))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-054/anat/sub-054_T2w.nii.gz,T2,"(560, 560, 13)","(np.float32(0.64285713), np.float32(0.64285713), np.float32(2.3))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-012/anat/sub-012_STIR.nii.gz,STIR,"(640, 760, 21)","(np.float32(0.5), np.float32(0.5), np.float32(3.0000002))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-012/anat/sub-012_T2w.nii.gz,T2,"(448, 532, 19)","(np.float32(0.71428573), np.float32(0.71428573), np.float32(3.0))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-011/anat/sub-011_STIR.nii.gz,STIR,"(480, 864, 16)","(np.float32(0.4167), np.float32(0.4167), np.float32(2.5000002))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-011/anat/sub-011_T2w.nii.gz,T2,"(480, 864, 16)","(np.float32(0.4167), np.float32(0.4167), np.float32(2.5000002))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-083/anat/sub-083_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.48828125), np.float32(0.48828125), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-083/anat/sub-083_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 180)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-068/anat/sub-068_T2w.nii.gz,T2,"(768, 1104, 15)","(np.float32(0.33854166), np.float32(0.33854166), np.float32(3.3))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-068/anat/sub-068_PSIR.nii.gz,PSIR,"(640, 640, 15)","(np.float32(0.34375), np.float32(0.34375), np.float32(3.15))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-021/anat/sub-021_T2w.nii.gz,T2,"(448, 532, 19)","(np.float32(0.714286), np.float32(0.714286), np.float32(3.000012))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-021/anat/sub-021_STIR.nii.gz,STIR,"(640, 760, 21)","(np.float32(0.5), np.float32(0.5), np.float32(3.0000203))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-002/anat/sub-002_T2w.nii.gz,T2,"(16, 448, 448)","(np.float32(3.0), np.float32(0.84821427), np.float32(0.84821427))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-002/anat/sub-002_STIR.nii.gz,STIR,"(12, 448, 448)","(np.float32(3.85), np.float32(0.84821427), np.float32(0.84821427))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-061/anat/sub-061_PSIR.nii.gz,PSIR,"(384, 456, 19)","(np.float32(0.8333333), np.float32(0.8333333), np.float32(3.0))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-061/anat/sub-061_T2w.nii.gz,T2,"(448, 532, 14)","(np.float32(0.71428573), np.float32(0.71428573), np.float32(3.0))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-075/anat/sub-075_PSIR.nii.gz,PSIR,"(15, 880, 570)","(np.float32(3.3), np.float32(0.48913044), np.float32(0.48913044))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-075/anat/sub-075_T2w.nii.gz,T2,"(784, 784, 15)","(np.float32(0.5188679), np.float32(0.5188679), np.float32(3.0))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-053/anat/sub-053_T2w.nii.gz,T2,"(768, 1104, 15)","(np.float32(0.33854166), np.float32(0.33854166), np.float32(3.3))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-053/anat/sub-053_PSIR.nii.gz,PSIR,"(640, 640, 15)","(np.float32(0.34375), np.float32(0.34375), np.float32(3.15))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-042/anat/sub-042_T2w.nii.gz,T2,"(896, 896, 17)","(np.float32(0.4017857), np.float32(0.4017857), np.float32(2.7498398))","('P', 'I', 'R')"
ms-multi-spine-challenge-2024/sub-042/anat/sub-042_STIR.nii.gz,STIR,"(768, 768, 15)","(np.float32(0.46875), np.float32(0.46875), np.float32(2.7498398))","('P', 'I', 'R')"
ms-multi-spine-challenge-2024/sub-078/anat/sub-078_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 190)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-078/anat/sub-078_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.48828125), np.float32(0.48828125), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-007/anat/sub-007_STIR.nii.gz,STIR,"(13, 560, 560)","(np.float32(3.3), np.float32(0.5514706), np.float32(0.5514706))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-007/anat/sub-007_T2w.nii.gz,T2,"(13, 864, 864)","(np.float32(3.3), np.float32(0.34706497), np.float32(0.34706497))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-029/anat/sub-029_STIR.nii.gz,STIR,"(18, 256, 304)","(np.float32(3.0), np.float32(1.25), np.float32(1.25))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-029/anat/sub-029_T2w.nii.gz,T2,"(18, 320, 380)","(np.float32(3.0), np.float32(0.875), np.float32(0.875))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-084/anat/sub-084_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 170)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-084/anat/sub-084_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.48828125), np.float32(0.48828125), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-096/anat/sub-096_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 178)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-096/anat/sub-096_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.48828125), np.float32(0.48828125), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-016/anat/sub-016_STIR.nii.gz,STIR,"(256, 336, 13)","(np.float32(0.859375), np.float32(0.859375), np.float32(3.3))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-016/anat/sub-016_T2w.nii.gz,T2,"(512, 512, 13)","(np.float32(0.5859375), np.float32(0.5859375), np.float32(3.3))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-094/anat/sub-094_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 180)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-094/anat/sub-094_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.48828125), np.float32(0.48828125), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-046/anat/sub-046_STIR.nii.gz,STIR,"(256, 336, 13)","(np.float32(0.859375), np.float32(0.859375), np.float32(3.299714))","('P', 'I', 'R')"
ms-multi-spine-challenge-2024/sub-046/anat/sub-046_T2w.nii.gz,T2,"(512, 512, 13)","(np.float32(0.5859375), np.float32(0.5859375), np.float32(2.9997396))","('P', 'I', 'R')"
ms-multi-spine-challenge-2024/sub-090/anat/sub-090_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 300)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-090/anat/sub-090_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.48828125), np.float32(0.48828125), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-014/anat/sub-014_STIR.nii.gz,STIR,"(640, 640, 14)","(np.float32(0.484375), np.float32(0.484375), np.float32(3.599699))","('P', 'I', 'R')"
ms-multi-spine-challenge-2024/sub-014/anat/sub-014_T2w.nii.gz,T2,"(384, 384, 16)","(np.float32(0.7239583), np.float32(0.7239583), np.float32(3.2997246))","('P', 'I', 'R')"
ms-multi-spine-challenge-2024/sub-055/anat/sub-055_T2w.nii.gz,T2,"(768, 1104, 15)","(np.float32(0.33854166), np.float32(0.33854166), np.float32(3.3))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-055/anat/sub-055_PSIR.nii.gz,PSIR,"(640, 640, 15)","(np.float32(0.34375), np.float32(0.34375), np.float32(3.15))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-097/anat/sub-097_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 180)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-097/anat/sub-097_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.488281), np.float32(0.488281), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-065/anat/sub-065_PSIR.nii.gz,PSIR,"(640, 640, 15)","(np.float32(0.34375), np.float32(0.34375), np.float32(3.15))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-065/anat/sub-065_T2w.nii.gz,T2,"(768, 1104, 15)","(np.float32(0.33854166), np.float32(0.33854166), np.float32(3.3))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-025/anat/sub-025_STIR.nii.gz,STIR,"(720, 720, 17)","(np.float32(0.41284403), np.float32(0.41284403), np.float32(3.0))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-025/anat/sub-025_T2w.nii.gz,T2,"(640, 640, 15)","(np.float32(0.46728972), np.float32(0.46728972), np.float32(3.0))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-072/anat/sub-072_PSIR.nii.gz,PSIR,"(50, 384, 384)","(np.float32(1.0), np.float32(0.8333333), np.float32(0.8333333))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-072/anat/sub-072_T2w.nii.gz,T2,"(560, 560, 13)","(np.float32(0.64285713), np.float32(0.64285713), np.float32(2.3))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-073/anat/sub-073_T2w.nii.gz,T2,"(15, 784, 544)","(np.float32(3.0), np.float32(0.5188679), np.float32(0.5188679))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-073/anat/sub-073_PSIR.nii.gz,PSIR,"(768, 430, 15)","(np.float32(0.5597015), np.float32(0.5597015), np.float32(3.3))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-022/anat/sub-022_T2w.nii.gz,T2,"(17, 640, 760)","(np.float32(3.0), np.float32(0.40625), np.float32(0.40625))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-022/anat/sub-022_STIR.nii.gz,STIR,"(17, 640, 760)","(np.float32(3.0), np.float32(0.40625), np.float32(0.40625))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-087/anat/sub-087_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 178)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-087/anat/sub-087_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.48828125), np.float32(0.48828125), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-034/anat/sub-034_T2w.nii.gz,T2,"(13, 512, 512)","(np.float32(3.3), np.float32(0.5859375), np.float32(0.5859375))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-034/anat/sub-034_STIR.nii.gz,STIR,"(13, 256, 336)","(np.float32(3.3), np.float32(0.859375), np.float32(0.859375))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-069/anat/sub-069_PSIR.nii.gz,PSIR,"(640, 640, 15)","(np.float32(0.34375), np.float32(0.34375), np.float32(3.15))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-069/anat/sub-069_T2w.nii.gz,T2,"(768, 1104, 15)","(np.float32(0.33854166), np.float32(0.33854166), np.float32(3.3))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-062/anat/sub-062_T2w.nii.gz,T2,"(560, 560, 13)","(np.float32(0.64285713), np.float32(0.64285713), np.float32(2.3))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-062/anat/sub-062_PSIR.nii.gz,PSIR,"(50, 384, 384)","(np.float32(1.0), np.float32(0.8333333), np.float32(0.8333333))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-023/anat/sub-023_STIR.nii.gz,STIR,"(320, 370, 15)","(np.float32(0.78125), np.float32(0.78125), np.float32(4.399349))","('P', 'I', 'R')"
ms-multi-spine-challenge-2024/sub-023/anat/sub-023_T2w.nii.gz,T2,"(384, 432, 15)","(np.float32(0.651042), np.float32(0.651042), np.float32(2.9999428))","('P', 'I', 'R')"
ms-multi-spine-challenge-2024/sub-030/anat/sub-030_STIR.nii.gz,STIR,"(10, 512, 512)","(np.float32(3.63), np.float32(0.5078125), np.float32(0.5078125))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-030/anat/sub-030_T2w.nii.gz,T2,"(10, 384, 384)","(np.float32(3.63), np.float32(0.6770833), np.float32(0.6770833))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-051/anat/sub-051_PSIR.nii.gz,PSIR,"(640, 640, 15)","(np.float32(0.34375), np.float32(0.34375), np.float32(3.15))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-051/anat/sub-051_T2w.nii.gz,T2,"(768, 1104, 15)","(np.float32(0.33854166), np.float32(0.33854166), np.float32(3.3))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-050/anat/sub-050_STIR.nii.gz,STIR,"(720, 720, 17)","(np.float32(0.41284403), np.float32(0.41284403), np.float32(3.0))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-050/anat/sub-050_T2w.nii.gz,T2,"(640, 640, 15)","(np.float32(0.46728972), np.float32(0.46728972), np.float32(3.0))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-088/anat/sub-088_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.48828125), np.float32(0.48828125), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-088/anat/sub-088_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 190)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-031/anat/sub-031_STIR.nii.gz,STIR,"(15, 640, 740)","(np.float32(3.3), np.float32(0.46875), np.float32(0.46875))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-031/anat/sub-031_T2w.nii.gz,T2,"(15, 768, 888)","(np.float32(3.3), np.float32(0.390625), np.float32(0.390625))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-086/anat/sub-086_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.48828125), np.float32(0.48828125), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-086/anat/sub-086_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 180)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-095/anat/sub-095_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 170)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-095/anat/sub-095_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.488281), np.float32(0.488281), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-080/anat/sub-080_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.48828125), np.float32(0.48828125), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-080/anat/sub-080_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 180)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-059/anat/sub-059_PSIR.nii.gz,PSIR,"(640, 700, 15)","(np.float32(0.34375), np.float32(0.34375), np.float32(3.15))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-059/anat/sub-059_T2w.nii.gz,T2,"(768, 1104, 15)","(np.float32(0.33854166), np.float32(0.33854166), np.float32(3.85))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-015/anat/sub-015_T2w.nii.gz,T2,"(800, 888, 15)","(np.float32(0.35), np.float32(0.35), np.float32(2.749947))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-015/anat/sub-015_STIR.nii.gz,STIR,"(704, 759, 15)","(np.float32(0.397727), np.float32(0.397727), np.float32(2.7499433))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-067/anat/sub-067_PSIR.nii.gz,PSIR,"(768, 528, 15)","(np.float32(0.5597015), np.float32(0.5597015), np.float32(3.3))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-067/anat/sub-067_T2w.nii.gz,T2,"(784, 784, 15)","(np.float32(0.5188679), np.float32(0.5188679), np.float32(3.0))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-004/anat/sub-004_T2w.nii.gz,T2,"(14, 512, 512)","(np.float32(3.6000035), np.float32(0.68360007), np.float32(0.6836))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-004/anat/sub-004_STIR.nii.gz,STIR,"(14, 512, 512)","(np.float32(3.5999804), np.float32(0.68359405), np.float32(0.683594))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-093/anat/sub-093_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.48828125), np.float32(0.48828125), np.float32(2.75))","('P', 'S', 'R')"
